scenario,seed,oracle_R,oracle_R_feasible,grid_R,ga_true_R,ga_mc_fit,ga_cf_R,regret_pct,wall_seconds
28,3,67586.9165,67586.9165,65276.3364,66087.5948,66275.5973,66302.2133,2.218361,26.390
28,4,67586.9165,67586.9165,65276.3364,66225.5211,66320.5680,66304.0502,2.014288,26.628
28,5,67586.9165,67586.9165,65276.3364,66766.8735,66335.8643,66310.4566,1.213316,26.494
28,6,67586.9165,67586.9165,65276.3364,65947.5432,66299.6782,66307.4214,2.425578,26.636
28,7,67586.9165,67586.9165,65276.3364,67005.4315,66426.9648,66414.9104,0.860351,26.534
28,8,67586.9165,67586.9165,65276.3364,66156.9060,66314.5899,66329.7630,2.115810,26.755
28,9,67586.9165,67586.9165,65276.3364,66142.9455,66264.4456,66265.4136,2.136465,26.511
29,0,42584.8445,42584.8445,41175.8942,42085.4682,39216.9583,39225.8798,1.172662,26.526
29,1,42584.8445,42584.8445,41175.8942,42036.7488,39244.1830,39211.0691,1.287068,26.422
29,2,42584.8445,42584.8445,41175.8942,41297.8844,39080.8032,39089.9141,3.022108,26.473
29,3,42584.8445,42584.8445,41175.8942,41337.0907,39085.9793,39100.7879,2.930042,26.614
29,4,42584.8445,42584.8445,41175.8942,42087.0023,39205.6000,39195.3823,1.169060,26.508
29,5,42584.8445,42584.8445,41175.8942,42141.6066,39277.0768,39262.3492,1.040835,26.595
29,6,42584.8445,42584.8445,41175.8942,41180.8293,39077.0602,39081.5950,3.296983,26.585
29,7,42584.8445,42584.8445,41175.8942,42093.8190,39230.5877,39223.7797,1.153052,26.616
29,8,42584.8445,42584.8445,41175.8942,42179.3995,39253.6460,39263.0939,0.952088,26.688
29,9,42584.8445,42584.8445,41175.8942,41410.4419,39105.5992,39105.9864,2.757795,26.514
